SURVEY: FOUNDATION
SNTYPE: 1
SNID: 2016W
RA: 37.6654873
DECL: 42.2359685
MWEBV: 0.0599 +- 0.0030
FILTERS: griz
REDSHIFT_HELIO: 0.0192530 +- 0.0000670
REDSHIFT_CMB: 0.0185546 +- 0.0000670
REDSHIFT_FINAL: 0.0185546 +- 0.0000670
SEARCH_PEAKMJD: 57420.27212
HOSTGAL_LOGMASS: 11.388 +- 0.002
VPEC: 460.096
VPEC_ERR: 250.000
PIXSIZE: 0.25  # arcsec

###########################
NOBS: 29
NVAR: 8
VARLIST:      MJD    FLT   FIELD      FLUXCAL     FLUXCALERR       MAG    MAGERR   PSF
OBS:  57410.29056      g    NULL    23285.733        455.303    16.582     0.021  2.66
OBS:  57415.25541      g    NULL    41770.651        633.777    15.948     0.016  2.01
OBS:  57420.27171      g    NULL    40402.139        619.810    15.984     0.017  2.53
OBS:  57427.25693      g    NULL    28340.979        452.276    16.369     0.017  2.59
OBS:  57434.23639      g    NULL    13181.220        267.003    17.200     0.022  1.93
OBS:  57443.23043      g    NULL     6054.215        165.725    18.045     0.030  1.60
OBS:  57451.23297      g    NULL     3936.091        128.805    18.512     0.035  1.80
OBS:  57410.29097      r    NULL    25857.921        429.508    16.469     0.018  2.11
OBS:  57415.25581      r    NULL    41214.465        612.222    15.962     0.016  1.96
OBS:  57420.27212      r    NULL    43751.993        655.981    15.898     0.016  2.14
OBS:  57427.25734      r    NULL    31990.943        491.707    16.237     0.017  2.59
OBS:  57434.23680      r    NULL    25557.530        406.026    16.481     0.017  1.90
OBS:  57443.23084      r    NULL    16758.223        281.660    16.939     0.018  1.57
OBS:  57451.23339      r    NULL    10335.972        192.598    17.464     0.020  1.60
OBS:  57410.29132      i    NULL    23084.719        386.208    16.592     0.018  2.14
OBS:  57415.25617      i    NULL    32536.773        496.073    16.219     0.017  1.52
OBS:  57420.27247      i    NULL    27668.200        442.347    16.395     0.017  2.12
OBS:  57427.25770      i    NULL    19325.713        329.631    16.785     0.018  2.17
OBS:  57434.23716      i    NULL    17903.471        309.649    16.868     0.019  1.87
OBS:  57443.23119      i    NULL    18268.655        301.179    16.846     0.018  1.36
OBS:  57451.23373      i    NULL    10485.588        193.406    17.449     0.020  1.15
OBS:  57410.29168      z    NULL    19059.944        367.139    16.800     0.021  2.08
OBS:  57415.25653      z    NULL    27620.509        462.593    16.397     0.018  1.38
OBS:  57420.27283      z    NULL    25478.076        452.964    16.485     0.019  2.23
OBS:  57427.25805      z    NULL    19471.715        379.139    16.776     0.021  2.17
OBS:  57434.23751      z    NULL    19671.400        370.036    16.765     0.020  1.60
OBS:  57443.23155      z    NULL    19365.388        345.941    16.782     0.019  1.32
OBS:  57451.23409      z    NULL    11193.743        233.854    17.378     0.023  1.12
OBS:  57404.20931      z    NULL     3237.259        114.905    18.725     0.038  1.50
END:
